Recipe_id,Region,Sub_region,Continent
3697,Indian Subcontinent,Bangladeshi,Asian
3698,Indian Subcontinent,Bangladeshi,Asian
3699,Indian Subcontinent,Bangladeshi,Asian
3700,Indian Subcontinent,Bangladeshi,Asian
3701,Indian Subcontinent,Bangladeshi,Asian
3702,Indian Subcontinent,Bangladeshi,Asian
3703,Indian Subcontinent,Bangladeshi,Asian
3704,Indian Subcontinent,Bangladeshi,Asian
3705,Indian Subcontinent,Bangladeshi,Asian
3706,Indian Subcontinent,Bangladeshi,Asian
3707,Indian Subcontinent,Bangladeshi,Asian
3708,Indian Subcontinent,Bangladeshi,Asian
3709,Indian Subcontinent,Bangladeshi,Asian
3710,Indian Subcontinent,Bangladeshi,Asian
3711,Indian Subcontinent,Bangladeshi,Asian
3712,Indian Subcontinent,Bangladeshi,Asian
4003,Indian Subcontinent,Indian,Asian
4004,Indian Subcontinent,Indian,Asian
4005,Indian Subcontinent,Indian,Asian
4006,Indian Subcontinent,Indian,Asian
4007,Indian Subcontinent,Indian,Asian
4008,Indian Subcontinent,Indian,Asian
4009,Indian Subcontinent,Indian,Asian
4010,Indian Subcontinent,Indian,Asian
4011,Indian Subcontinent,Indian,Asian
4012,Indian Subcontinent,Indian,Asian
4013,Indian Subcontinent,Indian,Asian
4014,Indian Subcontinent,Indian,Asian
4015,Indian Subcontinent,Indian,Asian
4016,Indian Subcontinent,Indian,Asian
4017,Indian Subcontinent,Indian,Asian
4018,Indian Subcontinent,Indian,Asian
4019,Indian Subcontinent,Indian,Asian
4020,Indian Subcontinent,Indian,Asian
4021,Indian Subcontinent,Indian,Asian
4022,Indian Subcontinent,Indian,Asian
4023,Indian Subcontinent,Indian,Asian
4024,Indian Subcontinent,Indian,Asian
4025,Indian Subcontinent,Indian,Asian
4026,Indian Subcontinent,Indian,Asian
4027,Indian Subcontinent,Indian,Asian
4028,Indian Subcontinent,Indian,Asian
4029,Indian Subcontinent,Indian,Asian
4030,Indian Subcontinent,Indian,Asian
4031,Indian Subcontinent,Indian,Asian
4032,Indian Subcontinent,Indian,Asian
4033,Indian Subcontinent,Indian,Asian
4034,Indian Subcontinent,Indian,Asian
4035,Indian Subcontinent,Indian,Asian
4036,Indian Subcontinent,Indian,Asian
4037,Indian Subcontinent,Indian,Asian
4038,Indian Subcontinent,Indian,Asian
4039,Indian Subcontinent,Indian,Asian
4040,Indian Subcontinent,Indian,Asian
4041,Indian Subcontinent,Indian,Asian
4042,Indian Subcontinent,Indian,Asian
4043,Indian Subcontinent,Indian,Asian
4044,Indian Subcontinent,Indian,Asian
4045,Indian Subcontinent,Indian,Asian
4046,Indian Subcontinent,Indian,Asian
4047,Indian Subcontinent,Indian,Asian
4048,Indian Subcontinent,Indian,Asian
4049,Indian Subcontinent,Indian,Asian
4050,Indian Subcontinent,Indian,Asian
4051,Indian Subcontinent,Indian,Asian
4052,Indian Subcontinent,Indian,Asian
4053,Indian Subcontinent,Indian,Asian
4054,Indian Subcontinent,Indian,Asian
4055,Indian Subcontinent,Indian,Asian
4056,Indian Subcontinent,Indian,Asian
4057,Indian Subcontinent,Indian,Asian
4058,Indian Subcontinent,Indian,Asian
4059,Indian Subcontinent,Indian,Asian
4060,Indian Subcontinent,Indian,Asian
4061,Indian Subcontinent,Indian,Asian
4062,Indian Subcontinent,Indian,Asian
4063,Indian Subcontinent,Indian,Asian
4064,Indian Subcontinent,Indian,Asian
4065,Indian Subcontinent,Indian,Asian
4066,Indian Subcontinent,Indian,Asian
4067,Indian Subcontinent,Indian,Asian
4068,Indian Subcontinent,Indian,Asian
4069,Indian Subcontinent,Indian,Asian
4070,Indian Subcontinent,Indian,Asian
4071,Indian Subcontinent,Indian,Asian
4072,Indian Subcontinent,Indian,Asian
4073,Indian Subcontinent,Indian,Asian
4074,Indian Subcontinent,Indian,Asian
4075,Indian Subcontinent,Indian,Asian
